Location,Address,Period,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Wind Speed,Cloud Cover,Relative Humidity,,Disease
"Karjat, MH, India","Karjat, MH, India",Week 41 (Oct) 2015,36.1,24.8,29.8,46.9,22.41,20.5,45.5,74.77,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 42 (Oct) 2015,37.1,24.4,30.9,45.5,25,20.5,34,65.79,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 43 (Oct) 2015,37.1,22.2,31.2,45.5,0.7,18.4,29.7,62.1,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 44 (Oct) 2015,35.1,20.4,29.6,40.7,0.1,18.4,41.7,59.5,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 45 (Nov) 2015,36.1,22.7,29.9,39.3,0,18.4,17.4,57.17,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 46 (Nov) 2015,36.1,15.4,29.2,35.9,0,20.5,21.5,48.97,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 47 (Nov) 2015,32.4,13.7,23.3,32,19.4,16.6,31.7,60.91,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 48 (Nov) 2015,31.1,19.1,24,32.2,90,5.4,46.4,79.34,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 49 (Dec) 2015,31.1,15.7,23,31.3,0,5.4,8.9,73.88,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 50 (Dec) 2015,32.7,13.4,22.3,32,0,9.4,30,68.02,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 51 (Dec) 2015,32.4,15.1,23.1,32.9,0,3.6,8.9,68.8,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 52 (Dec) 2015,30.4,0.9,19,29.6,0,9.4,9.6,62.78,,FALSE
"Karjat, MH, India","Karjat, MH, India",Week 1 (Dec) 2015,31.7,10.2,21,29.9,0,7.6,7.7,55.34,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 1 (Jan) 2016,35.1,12.1,26.7,33.7,0,18.4,16.6,44.82,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 2 (Jan) 2016,34.1,18.4,26.4,32.7,0,16.6,10.6,48.24,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 3 (Jan) 2016,32.1,18.6,24.4,32,0,25.9,15,59.86,,Blast
