Location,Address,Period,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Wind Speed,Cloud Cover,Relative Humidity,,Disease
"Karjat, MH, India","Karjat, MH, India",Week 17 (Apr) 2018,36.1,23.3,29.8,39.5,0,25.9,17.5,64.84,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 18 (Apr) 2018,35.4,25.2,30.1,40.7,0,25.9,30.6,67,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 19 (May) 2018,35.5,23.3,30.6,42.3,0,24.1,24.9,66.33,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 20 (May) 2018,35.5,23.4,30.9,44,0,24.1,35.2,68.54,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 21 (May) 2018,35.7,23.4,30.8,45.5,0,25.9,46.1,67.47,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 22 (May) 2018,35.6,23.3,30.8,45.5,8,27.7,56,72.01,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 23 (Jun) 2018,33.7,23.2,29.3,45.9,166.05,33.5,75.6,80.41,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 24 (Jun) 2018,33.1,21.3,29.2,42.5,112.3,35.3,62.4,78.77,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 25 (Jun) 2018,33.1,21.3,28.1,42.5,383.39,27.7,78.7,83.76,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 26 (Jun) 2018,32.1,22.1,27.7,40.8,541.73,29.5,75.2,85.05,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 27 (Jul) 2018,31.1,21.3,27,40.8,899.05,29.5,85.3,88.67,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 28 (Jul) 2018,31.1,22.3,27,40.8,820.05,35.3,89.2,89.47,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 29 (Jul) 2018,31.1,21.3,27.2,39.3,630.75,37.1,84.1,86.34,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 30 (Jul) 2018,31.1,21.4,27.4,39.3,137.76,33.5,83,84.17,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 31 (Jul) 2018,30.1,21.7,27.6,37.6,138.43,31.7,81.5,82.94,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 32 (Aug) 2018,30.1,21.3,27.2,36.3,229.62,29.5,82.1,84.3,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 33 (Aug) 2018,30.1,21.3,26.8,36.3,382.77,31.7,84,86.57,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 34 (Aug) 2018,30.1,20.6,26.5,36.3,476.64,29.5,83,86.46,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 35 (Aug) 2018,30.1,21.1,27,36.3,96.18,27.7,66.4,82.04,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 36 (Sep) 2018,30.1,21,27.2,35.2,48.17,27.7,57.4,77.4,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 37 (Sep) 2018,31.1,21.1,27.2,37.9,33.22,24.1,52.4,77.38,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 38 (Sep) 2018,31.3,20.4,27.6,39.3,37.6,25.9,68.6,80.07,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 39 (Sep) 2018,36.1,22.4,29.2,42.5,84.48,25.9,60.5,73.87,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 40 (Oct) 2018,37.1,24.2,30.6,43.3,23.5,22.3,45.4,62.82,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 41 (Oct) 2018,37.1,23.3,30.4,45.5,0,22.3,27.7,69.83,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 42 (Oct) 2018,37.1,23.3,29.7,42.3,23.59,22.3,40.6,65.94,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 43 (Oct) 2018,38.1,21.7,30.4,42.1,0,18.4,15.7,50.34,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 44 (Oct) 2018,36.1,21.5,29.6,40.8,7,20.5,17.2,49.87,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 45 (Nov) 2018,36.1,21.3,29.8,40.7,16.65,22.3,16.6,53.21,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 46 (Nov) 2018,35.1,21.1,28.4,35.8,0,22.3,0.8,54.62,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 47 (Nov) 2018,35.1,22.4,28.7,35.9,0,22.3,11.8,50.44,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 48 (Nov) 2018,34.1,20.3,27.8,34.8,0,18.4,14.1,46.85,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 49 (Dec) 2018,33.1,20.4,27.4,34.7,0,18.4,22,49.78,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 50 (Dec) 2018,32.1,17.4,25.7,31.1,0,25.9,5.6,45.87,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 51 (Dec) 2018,33.1,16.6,24.9,32.3,0,20.5,3.8,47.09,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 52 (Dec) 2018,32.1,15.4,24.7,32,0,22.3,14.7,39.31,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 1 (Dec) 2018,30.1,17.3,24.6,28.6,0,14.8,10.9,36.26,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 1 (Jan) 2019,32.1,17.9,24.8,30.8,0,23.2,5.1,46.05,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 2 (Jan) 2019,31.4,17.9,24.3,30.3,0,21.1,0.6,48.58,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 3 (Jan) 2019,33.8,19,26.4,34.8,0,22.3,0.1,48.55,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 4 (Jan) 2019,29.4,15.2,23.6,29.7,0,29,8.1,52.46,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 5 (Jan) 2019,31,16.9,24.8,30.8,0,23.4,1.8,43.5,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 6 (Feb) 2019,34,14.2,24.1,33,0,30,5.7,48.93,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 7 (Feb) 2019,34.4,18.8,26.1,33.1,0,27,7.6,45.88,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 8 (Feb) 2019,33.8,18.5,26.5,34.6,0,25.7,6.6,55.14,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 9 (Feb) 2019,33,18.3,25.9,33.6,0,25.6,8,53.95,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 10 (Mar) 2019,32.1,18.4,26.1,33.3,0,27.7,9.2,59.57,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 11 (Mar) 2019,35.1,19.3,26.7,32.7,0,29,12.9,55.93,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 12 (Mar) 2019,36.7,21.5,27.9,37.5,0,26.9,2.5,54.56,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 13 (Mar) 2019,38.5,24.6,29.7,39,0,27.6,5.9,60.44,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 14 (Apr) 2019,33.9,24.2,28.7,40.1,0,28.9,15.3,68.5,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 15 (Apr) 2019,35.7,25.2,29.6,43.2,0.4,27,12.7,66.81,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 16 (Apr) 2019,34.6,23.3,29.5,39.6,0.2,28,15.5,62.26,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 17 (Apr) 2019,36,25.5,30.6,45.3,0,27.2,7.7,64.94,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 18 (Apr) 2019,34,23.1,29.6,46.6,0,29,32.3,67.35,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 19 (May) 2019,32.3,23.3,29.5,39.1,0,27.7,28.9,67.41,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 20 (May) 2019,35.7,24.3,30.1,43.7,0,26.5,24.9,68.13,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 21 (May) 2019,34,24.3,30.4,44.2,0,28.3,31.2,71.41,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 22 (May) 2019,33.6,25.3,30.6,42.2,0,27,36.3,69.9,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 23 (Jun) 2019,35,24.4,31,44.4,31,30.2,44,71.46,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 24 (Jun) 2019,34.3,22.3,29.2,45.2,119.62,73.5,57.9,79.95,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 25 (Jun) 2019,33,22.3,29.6,43.8,52.71,30.7,51.1,78.31,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 26 (Jun) 2019,33,20.8,28,42.1,715.18,36.1,60.1,84.99,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 27 (Jul) 2019,30.1,22.2,27,39.9,821.15,31.7,63,92.03,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 28 (Jul) 2019,32.3,22.3,28.1,43.3,626.25,29.5,59.8,88.27,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 29 (Jul) 2019,32,23.3,29,41.1,192.75,25.1,55.5,82.25,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 30 (Jul) 2019,33.3,22.3,27.8,43.8,823.18,33.5,62.2,87.35,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 31 (Jul) 2019,31,20.9,26.8,39.1,951.01,35.3,65.9,90.02,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 32 (Aug) 2019,30.3,21.9,27.5,37.5,377.49,35.2,60.5,87.65,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 33 (Aug) 2019,30.3,21.9,27.7,38.3,172.63,27.4,55.5,85.15,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 34 (Aug) 2019,31.3,21.9,28.1,38.1,116.83,25.4,48.8,79.91,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 35 (Aug) 2019,32.3,21.4,27.7,40,214.23,29.2,54.2,83.68,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 36 (Sep) 2019,31.3,21.3,26.4,39.5,959.24,25.9,61.1,92.4,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 37 (Sep) 2019,30,21,26.8,37.8,591.48,29,59.4,89.85,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 38 (Sep) 2019,32,21.5,27.2,39.2,412.24,92.5,56.8,87,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 39 (Sep) 2019,32,21.1,27.7,41.1,341,24.8,50.8,83.93,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 40 (Oct) 2019,33,21.8,28.3,40.6,60.8,26.6,40.7,79.32,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 41 (Oct) 2019,35,22.3,28.9,42.5,138.54,23.2,42.1,74.23,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 42 (Oct) 2019,36,20.3,29,42,65.69,22.7,37.9,65.71,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 43 (Oct) 2019,32.3,21.3,27.2,37.3,141.15,25.9,60.5,79.62,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 44 (Oct) 2019,34.7,23.3,29.1,42.9,74.72,23.6,43.7,69.27,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 45 (Nov) 2019,33.7,21.3,28.1,41.1,41.25,25.6,36.6,77.7,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 46 (Nov) 2019,34.4,23,28.9,37.9,0,19,17.6,64.28,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 47 (Nov) 2019,33.8,22.5,28.6,36.3,0,21.7,10.6,60.48,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 48 (Nov) 2019,33.4,22.8,28.5,36.7,0,37.3,9.2,60.43,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 49 (Dec) 2019,34,21.4,28.4,36.3,1,17.2,28.4,59.83,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 50 (Dec) 2019,32,19.8,26.6,33.7,0,21.1,9.8,64.25,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 51 (Dec) 2019,32.4,20,26.9,33.4,0,19.5,23.8,61.58,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 52 (Dec) 2019,33,20.3,26.9,34.3,0.1,21.7,39.7,63.56,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 1 (Dec) 2019,28.4,16.4,24.2,29.4,0,18.4,13.5,61.43,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 1 (Jan) 1999,32.1,9.4,22.9,31.3,0,11.2,2.9,58.81,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 2 (Jan) 1999,32.1,8.4,22,31.7,0,14.8,16.9,62.92,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 3 (Jan) 1999,35.1,9.1,23.6,35.3,0,14.8,1.2,57.67,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 4 (Jan) 1999,35.1,10.7,23.8,34.8,0,18.4,10.7,57.82,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 5 (Jan) 1999,32.1,9.7,23.9,32.5,0,20.5,9.5,55.64,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 6 (Feb) 1999,33.1,9.1,24.9,33.1,0,18.4,25.9,56.51,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 7 (Feb) 1999,39.1,11.6,26.3,40.5,0,16.6,16.4,56.12,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 8 (Feb) 1999,37.1,15.9,28.2,38.7,0.3,20.5,23.1,51.81,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 9 (Feb) 1999,39.1,14.4,29.3,39.9,0,20.5,7.7,46.62,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 10 (Mar) 1999,37.1,17.7,29.6,37.5,0,24.1,25.1,48.2,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 11 (Mar) 1999,35.9,16.1,27.3,34.1,0,24.1,7,53.54,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 12 (Mar) 1999,37.4,16.1,27.7,34.8,0,27.7,12.7,50.36,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 13 (Mar) 1999,37.9,14.7,28.2,35.9,0,24.1,3.8,50.08,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 14 (Apr) 1999,40.1,17.1,29.8,41.6,0,42.5,21.6,50.57,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 15 (Apr) 1999,39.7,20.4,29.4,38,0,18.4,28.3,54.77,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 16 (Apr) 1999,39.1,18.1,29.3,38.1,0,20.5,18.3,50.04,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 17 (Apr) 1999,39.4,19.2,28.9,38.3,0,20.5,27.6,54.22,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 18 (Apr) 1999,39.9,19.4,29.3,37.3,0,22.3,38.7,53.47,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 19 (May) 1999,39.9,19.2,30.4,40.7,0,20.5,45.8,55.91,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 20 (May) 1999,37.4,22.2,30,37.3,30.3,22.3,38.7,60.47,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 21 (May) 1999,34.1,22.2,28.2,38.4,32.2,25.9,70.2,68.62,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 22 (May) 1999,32.4,23,28.3,34,1.1,22.3,59.6,63.01,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 23 (Jun) 1999,33.4,22.2,28.3,34.7,39.1,92.5,50.8,65.84,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 24 (Jun) 1999,32.4,20.7,28.3,35.9,55.8,22.3,70.4,68.61,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 25 (Jun) 1999,31.9,23,26.8,34.7,64.2,20.5,87.8,79.53,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 26 (Jun) 1999,30.1,22.2,26.4,36.3,125,24.1,86.5,84.48,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 27 (Jul) 1999,30.1,21.7,27.4,35.2,19.2,22.3,65.8,78.29,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 28 (Jul) 1999,32.7,22.1,27,36.3,37.6,24.1,83.5,81.31,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 29 (Jul) 1999,29.1,22.4,26.4,33.7,30.5,37.1,90,83.28,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 30 (Jul) 1999,29.1,21.9,26.8,33.7,49.4,25.9,88.9,80.95,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 31 (Jul) 1999,30.1,22.2,26.8,35.2,39.6,25.9,87.8,80.27,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 32 (Aug) 1999,29.1,21.9,26.4,33.7,79.9,27.7,91.8,82.01,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 33 (Aug) 1999,29.1,21.9,26.5,33.7,7.5,22.3,88.8,80.69,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 34 (Aug) 1999,30.1,19.4,26.9,34.3,1,18.4,62.5,78.29,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 35 (Aug) 1999,30.1,21.1,26.9,35.2,8,22.3,68.6,77.92,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 36 (Sep) 1999,30.1,20.7,26.4,34.3,2.7,92.5,73.4,78.6,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 37 (Sep) 1999,30.1,21.2,26.4,34.3,135.46,18.4,82,81.39,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 38 (Sep) 1999,30.2,19.1,27,34.3,26.23,18.4,68.5,77.2,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 39 (Sep) 1999,31.1,20.4,27.2,36.7,38.5,22.3,68.6,76.77,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 40 (Oct) 1999,31.1,21.9,27,37.9,498.21,13,79.4,84.38,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 41 (Oct) 1999,32.1,22.1,27.5,39.3,90.13,18.1,72.4,83.84,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 42 (Oct) 1999,33.1,22.1,27.2,38,206.7,18.4,51.5,80.47,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 43 (Oct) 1999,34.1,14.2,27,36.9,0,14.8,15.8,70.82,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 44 (Oct) 1999,36.1,20.2,28.2,39.5,0,18.4,35.1,70.3,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 45 (Nov) 1999,36.1,15.7,27.8,39.9,0,14.8,16.3,68.48,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 46 (Nov) 1999,36.1,18.2,28.3,39.6,0,14.8,12.4,66.28,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 47 (Nov) 1999,35.1,11.2,27.3,34.4,0,18.4,9.3,47.11,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 48 (Nov) 1999,35.1,18,27.2,37,0,14.8,39.6,52.67,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 49 (Dec) 1999,37.1,11.2,26.5,38.1,0,18.4,8.7,45.62,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 50 (Dec) 1999,32.1,8.1,24.5,33.7,0,22.3,8.1,60.67,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 51 (Dec) 1999,33.1,12.1,24.5,32.3,0,14.8,0.7,48.86,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 52 (Dec) 1999,34.1,14.7,26,33.7,2.8,14.8,41.4,47.73,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 1 (Dec) 1999,35.1,17.9,26.1,34.1,1.4,14.8,0.8,51.23,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 1 (Jan) 1998,35.1,15.1,27.1,39.6,0,14.8,17.7,72.03,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 2 (Jan) 1998,33.1,13.1,24.3,35.6,0,16.6,20.8,72.28,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 3 (Jan) 1998,33.1,13.4,22.8,34.7,0,27.7,24.5,73.84,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 4 (Jan) 1998,31.1,9.4,21.1,33.1,0,35.3,10,73.47,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 5 (Jan) 1998,35.1,11.1,24,38.7,0,16.6,8,69.53,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 6 (Feb) 1998,36.1,11.6,24,36.4,0,18.4,19.2,63.81,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 7 (Feb) 1998,38.1,13.1,25.2,39.9,0,13,15.1,62.32,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 8 (Feb) 1998,30.2,9.4,22.4,29.8,0,16.6,22.1,70.1,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 9 (Feb) 1998,35.1,10.2,23.8,36.4,0,18.4,9.2,61.76,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 10 (Mar) 1998,36.1,13.7,26.5,38.2,0,18.4,11.4,63.29,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 11 (Mar) 1998,35.7,12.9,25.5,35.4,0,18.4,10.1,65.87,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 12 (Mar) 1998,38.8,15.6,27.5,39.4,0,16.6,16.7,57.89,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 13 (Mar) 1998,40.1,15.7,28.3,41,0,18.4,1.3,51.61,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 14 (Apr) 1998,39.7,17.1,29.4,41.1,0,16.6,6.9,53.3,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 15 (Apr) 1998,39.7,17.7,28.5,38.5,0,14.8,16.3,60.59,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 16 (Apr) 1998,38.2,20.7,28.5,36.6,0,18.4,25.3,60.96,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 17 (Apr) 1998,39.1,18.9,28.7,37.1,0,25.9,28.9,61.6,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 18 (Apr) 1998,39.7,23.9,29.7,39.9,0.4,18.4,32.1,58.85,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 19 (May) 1998,42.2,23.4,31,41.2,0,18.4,31,52.37,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 20 (May) 1998,39.7,23.7,30.9,42,11,25.9,36.1,50.75,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 21 (May) 1998,38.8,23.2,30.7,47.5,10,22.3,45.1,65.88,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 22 (May) 1998,37.4,24.1,31.5,45.1,0,94.3,37.8,63.38,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 23 (Jun) 1998,39.7,22.7,32.2,47.5,41,33.5,44.4,62.29,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 24 (Jun) 1998,35.1,23,30.1,45.1,5.8,29.5,49.7,66.03,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 25 (Jun) 1998,34.1,23,29.6,43.7,22,53.6,68.2,71.33,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 26 (Jun) 1998,33.1,23.6,27,42.3,8.6,18.4,84.7,83,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 27 (Jul) 1998,31.1,23.2,26.2,39.3,129.1,22.3,91.1,88.62,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 28 (Jul) 1998,34.1,22.7,28.3,43.7,56.3,24.1,88.4,80.79,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 29 (Jul) 1998,32.1,23,28.4,40.8,16.5,24.1,79.4,80.26,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 30 (Jul) 1998,32.1,22.7,28.2,40.8,16.8,18.4,76.5,82.04,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 31 (Jul) 1998,32.1,20.1,26.2,39.3,115.55,18.4,92.1,87.79,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 32 (Aug) 1998,32.1,22.7,28.1,39.3,5.2,22.3,88.7,78.82,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 33 (Aug) 1998,33.1,21.9,27.1,40.7,23.2,18.4,91,85.05,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 34 (Aug) 1998,33.1,21.6,28.2,40.7,30.2,14.8,74.2,78,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 35 (Aug) 1998,33.1,22.7,27.2,42.3,84.3,25.9,89.9,84.95,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 36 (Sep) 1998,32.1,21.2,27.6,44.5,21.5,18.4,77.7,80.35,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 37 (Sep) 1998,31.1,21.9,26.7,37.9,35.5,20.5,87.3,85.16,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 38 (Sep) 1998,31.1,21.7,26.8,36.7,55.4,18.4,82.5,82.06,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 39 (Sep) 1998,34.1,20.7,27.4,39.5,21,14.8,74,77.69,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 40 (Oct) 1998,36.1,21.2,27.8,42.1,30.7,14.8,85.1,77.23,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 41 (Oct) 1998,36.1,20.7,28.3,43.3,18.1,18.4,66.5,74.9,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 42 (Oct) 1998,34.1,21.2,27.6,39.5,47.1,22.3,77.3,76.08,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 43 (Oct) 1998,32.1,16.4,26.6,36.9,0,14.8,46.6,74.02,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 44 (Oct) 1998,35.1,11.2,28.1,40.8,9,11.2,43,65.2,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 45 (Nov) 1998,36.1,20.2,28.9,43.5,23.4,14.8,57.9,72.11,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 46 (Nov) 1998,33.1,13.7,25.9,38.2,2,13,40.4,74.03,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 47 (Nov) 1998,33.1,12.9,25.3,36.2,12.1,14.8,30.2,73.04,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 48 (Nov) 1998,35.1,9.1,24.5,36.2,0,11.2,3.2,67.67,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 49 (Dec) 1998,33.1,11.2,25.6,36.2,0,13,11.2,68.09,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 50 (Dec) 1998,35.1,9.7,24.9,37.8,0,14.8,35.4,61.89,,Blast
